administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Département Maîtrise des armements et non-prolifération,,,,,Chef du département,SI,Administration centrale (ou Ministère),
Division Performance et soutiens,CATAR,Lionel,M.,général de division,Sous-chef d'état-major,SI,Administration centrale (ou Ministère),
Caisse des dépôts et consignations - Direction régionale - Bourgogne-Franche-Comté,,,,,Directeur régional,SI,Juridiction,
Bureau Programmation et actions de mutualisation des achats de l'État,LE DOEUFF,Claudine,Mme,attachée d'administration de l'Etat hors classe,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Direction de projet des échanges de données internationaux,HARMA,Nadia,Mme,administratrice de l'État,Directrice du projet,SI,Administration centrale (ou Ministère),
Présidence de la République,MACRON,Emmanuel,M.,,Président de la République,SI,Institution,
Bureau de l'animation et du pilotage des projets Zone sud,INOCENTE,Thomas,M.,"ingénieur des ponts, des eaux et des forêts",Chef du bureau,SI,Administration centrale (ou Ministère),
Direction des stages et de l'accompagnement des élèves,FONTANA,Agnès,Mme,inspectrice générale de l'administration,Directrice,SI,Établissement public,
Direction des stages et de l'accompagnement des élèves,RAGOT,Romain,M.,administrateur de l'État,Directeur adjoint,SI,Établissement public,
Direction des stages et de l'accompagnement des élèves,PÉRIDON,Christelle,Mme,,Directrice adjointe,SI,Établissement public,
Conservatoire national des arts et métiers - Guadeloupe,TROUPÉ,Marylène,Mme,,Directrice,SI,Établissement public,
Service de l'insertion et de la probation,LAUREOTE,David,M.,directeur pénitentiaire d'insertion et de probation hors classe,Chef du service,SI,Administration centrale (ou Ministère),
Service de l'insertion et de la probation,ROSSI,Sandrine,Mme,directrice pénitentiaire d'insertion et de probation,Adjointe,SI,Administration centrale (ou Ministère),
Service de l'insertion et de la probation,ARANDEL,Guillaume,M.,directeur pénitentiaire d'insertion et de probation hors classe,Chargé de mission Expertise et valorisation des pratiques professionnelles,SI,Administration centrale (ou Ministère),
Département des technologies appliquées à l'investigation,DUFAU,Christine,Mme,commissaire générale,Cheffe du département,SI,Administration centrale (ou Ministère),
Département des technologies appliquées à l'investigation,SANTAGA,Julien,M.,commissaire divisionnaire,Adjoint,SI,Administration centrale (ou Ministère),
Commission interministérielle des biens à double usage,,,,,Président,SI,Service à compétence nationale,
Bureau de la gestion des espaces maritimes et littoraux (ELM2),VIDAL,Simon,M.,"ingénieur des ponts, des eaux et des forêts",Chef du bureau,SI,Administration centrale (ou Ministère),
Direction de la formation initiale et continue,LIGER-BELAIR,Philippe,M.,,Directeur,SI,Établissement public,
Direction de la formation initiale et continue,EBENBURGER,Nicola,Mme,,Adjointe,SI,Établissement public,
Bureau Personnel paramédical et périmédical,SALIOU,Henri,M.,directeur des soins hors classe,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau du dialogue social et des statuts,WHITLEY,Marie-Frédérique,Mme,administratrice de l'État,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau du droit européen et international,GOUGAUD,Valérie,Mme,attachée principale d'administration de l'Etat,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau d'enquêtes sur les événements de mer,ROUX,Sébastien,M.,administrateur général des affaires maritimes,Directeur,SI,Administration centrale (ou Ministère),
Département Ressources et modernisation,LECLERC,Bertrand,M.,conseiller d'administration,Chef du département,SI,Administration centrale (ou Ministère),
Groupe de recherche hydraulique et aménagement,SERGENT,Philippe,M.,,Chef de groupe,SI,Établissement public,
Bureau Professions sociales,ABDESSELEM,Mouna,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau des métiers,CORTES,Isabelle,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau des risques naturels terrestres,DURAND,Clarisse,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Institut français du GABON - Libreville,RUBI,Bernard,M.,,Directeur,SI,Ambassade ou mission diplomatique,
