administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Agence de l'eau Artois-Picardie,,,,,Secrétaire général,SI,Établissement public,
Agence de l'eau Artois-Picardie,PONCET,Dominique,M.,,Chef du service communication,SI,Établissement public,
Agence de l'eau Artois-Picardie,FIOLET,Emeline,Mme,administratrice de l'État,Agente comptable,SI,Établissement public,
Service technique,DE THUIN,Christian,M.,,Chef du service,SI,Établissement public,
Sous-direction de l'Europe et de l'International (SEI),RAYNAUD,Nils,M.,"ingénieur général des ponts, des eaux et des forêts",Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de l'Europe et de l'International (SEI),RISSE,Eric,M.,administrateur de l'État,Adjoint au sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de la planification de sécurité nationale,CASTELLOTTI,Élisabeth,Mme,administratrice de l'État,"Sous-directrice, adjointe au directeur de la protection et de la sécurité de l'État",SI,Administration centrale (ou Ministère),
Sous-direction de la planification de sécurité nationale,ARANY,Gabor,M.,administrateur de l'État hors classe,Sous-directeur adjoint,SI,Administration centrale (ou Ministère),
Division Élaboration des statistiques de production industrielle,BARBET,Laurent,M.,,Chef de la division,SI,Administration centrale (ou Ministère),
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",HALBOUT,Gilles,M.,,Conseiller Education et enseignement supérieur,SI,Institution,
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",ELMAN,William,M.,,Conseiller,SI,Institution,
"Conseillers pôle éducation nationale, enseignement supérieur, recherche et innovation, sports, culture",IDIER,Nicolas,M.,,Conseiller,SI,Institution,
Bureau du droit des statuts et des organisations et de la législation générale,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Consulat général de France MAROC - Casablanca,CHUZEVILLE,Aymeric,M.,administrateur de l'État,Consul général,SI,Ambassade ou mission diplomatique,
Cabinet du directeur général de l'aviation civile,DUBOURG,Jacques,M.,administrateur de l'État,Directeur du cabinet,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de l'aviation civile,SOLANO,Frédéric,M.,,"Adjoint, chargé de la communication",SI,Administration centrale (ou Ministère),
Cabinet du directeur général de l'aviation civile,HUBERT,Pierre,M.,attaché d'administration de l'Etat,Chef du Pôle des affaires générales,SI,Administration centrale (ou Ministère),
Cabinet du directeur général de l'aviation civile,CHAPEAU,Laurent,M.,ingénieur principal des études et de l'exploitation de l'aviation civile,Chef du Pôle des affaires réservées et territoriales,SI,Administration centrale (ou Ministère),
Délégation générale à l'emploi et à la formation professionnelle (DGEFP),MAURICE,Benjamin,M.,inspecteur général des affaires sociales,Délégué général à l'emploi et à la formation professionnelle,SI,Administration centrale (ou Ministère),
Délégation générale à l'emploi et à la formation professionnelle (DGEFP),ALBERTI,Angélique,Mme,directrice du travail,"Adjointe, cheffe de service",SI,Administration centrale (ou Ministère),
Délégation générale à l'emploi et à la formation professionnelle (DGEFP),BECUWE,Rachel,Mme,administratrice de l'État,"Adjointe, cheffe de service",SI,Administration centrale (ou Ministère),
Délégation générale à l'emploi et à la formation professionnelle (DGEFP),GRANDGÉRARD-RANCE,Isabelle,Mme,,Cheffe du pôle juridique,SI,Administration centrale (ou Ministère),
Délégation générale à l'emploi et à la formation professionnelle (DGEFP),DIEMER,Aurélie,Mme,attachée principale d'administration de l'Etat,Directrice du cabinet,SI,Administration centrale (ou Ministère),
Direction du numérique et de ses usages,TOURARD,Simon,M.,,Directeur,SI,Autorité administrative indépendante,
Bureau des prestations financières de l'administration centrale,MEZINO,Priscilla,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau des expertises techniques et opérationnelles et des enquêtes disciplinaires,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Mission de l'exploitation et de la satisfaction des utilisateurs,,,,,Chef de la mission,SI,Administration centrale (ou Ministère),
Bureau de la préparation et du pilotage de la masse salariale,TRÉZIÈRES,Marc,M.,colonel,Chef du bureau,SI,Administration centrale (ou Ministère),
Service de contrôle budgétaire et comptable ministériel (SCBCM) - Culture,GEOFFROY,Bernard,M.,administrateur de l'État,Contrôleur budgétaire et comptable ministériel,SI,Administration centrale (ou Ministère),
Service de contrôle budgétaire et comptable ministériel (SCBCM) - Culture,KRECKELBERGH,Marc,M.,administrateur de l'État,Expert de haut niveau,SI,Administration centrale (ou Ministère),
Consulat général de France CHINE - Wuhan,LE LAN,Julien,M.,administrateur de l'État,Consul général,SI,Ambassade ou mission diplomatique,
Coordonnateur interministériel pour l'égalité entre les femmes et les hommes en outre-mer,LUQUET,Aude,Mme,,Coordonnatrice interministérielle pour l'égalité entre les femmes et les hommes en outre-mer,SI,Administration centrale (ou Ministère),
Institut français de SLOVAQUIE - Bratislava,FAVRY,Olivier,M.,secrétaire des affaires étrangères,Directeur,SI,Ambassade ou mission diplomatique,
Centre national du microfilm et de la numérisation,CAMPLO,Henri-Luc,M.,,Directeur,SI,Administration centrale (ou Ministère),
Mission des politiques de certification professionnelle,JOHAIS,Romain,M.,attaché d'administration de l'Etat,Chef de la mission,SI,Administration centrale (ou Ministère),
Institut français du PORTUGAL - Lisbonne,TISON,Christian,M.,,Directeur,SI,Ambassade ou mission diplomatique,
Bureau du droit constitutionnel et du droit public général,HENRY,Clément,M.,administrateur de l'État,Chef du bureau,SI,Administration centrale (ou Ministère),
Service d'information du public,BECHARA,Anne-Lise,Mme,,Cheffe du service,SI,Autorité administrative indépendante,
Service d'information du public,BAUDRILLARD,Jean,M.,,Adjoint,SI,Autorité administrative indépendante,
Conservatoire national supérieur de musique et de danse de Paris,PALLEZ,Stéphane,Mme,,Présidente du conseil d'administration,SI,Établissement public,
Conservatoire national supérieur de musique et de danse de Paris,DELORME,Émilie,Mme,,Directrice,SI,Établissement public,
Conservatoire national supérieur de musique et de danse de Paris,THYSS,Marine,Mme,,Directrice adjointe,SI,Établissement public,
Conservatoire national supérieur de musique et de danse de Paris,BRANDEIS,Philippe,M.,,Directeur des études musicales et de la recherche,SI,Établissement public,
Conservatoire national supérieur de musique et de danse de Paris,ANDRIEUX,Cédric,M.,,Directeur des études chorégraphiques,SI,Établissement public,
Conservatoire national supérieur de musique et de danse de Paris,PANSARD-RICORDEAU,Alexandre,M.,,"Chargé de la communication, relations publiques et mécénat",SI,Établissement public,
Bureau des aides à la navigation maritime et de la protection du littoral,JÉZÉQUEL,Nolwenn,Mme,administratrice principale des affaires maritimes,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau des aides à la navigation maritime et de la protection du littoral,MASSA,Charles-André,M.,administrateur en chef des affaires maritimes,Directeur du pôle protection du littoral et POLMAR Terre,SI,Administration centrale (ou Ministère),
Mission de la stratégie immobilière ministérielle,VERMEULEN,Michel,M.,"ingénieur général des ponts, des eaux et des forêts",Chef de la mission,SI,Administration centrale (ou Ministère),
Mission de la stratégie immobilière ministérielle,CHABRIER-GAY,Claire,Mme,ingénieure des travaux publics de l'Etat hors classe,Adjointe,SI,Administration centrale (ou Ministère),
Division Performance-synthèse,LE GOUVELLO DE LA PORTE,Jobic,M.,colonel,Chef de la division,SI,Administration centrale (ou Ministère),
Mission de la tutelle territoriale,GOURLAOUEN,Karine,Mme,,Cheffe de la mission,SI,Administration centrale (ou Ministère),
Direction des affaires juridiques - ministère de l'Agriculture,DE LA TAILLE LOLAINVILLE,Guillaume,M.,maître des requêtes au Conseil d'État,Directeur,SI,Administration centrale (ou Ministère),
Direction des affaires juridiques - ministère de l'Agriculture,ORIO,Eugénie,Mme,présidente du corps des tribunaux administratifs et des cours administratives d'appel,Adjointe,SI,Administration centrale (ou Ministère),
École nationale de police - Paris-Vincennes,VIGNES,Viviane,Mme,commandante divisionnaire fonctionnelle,Directrice,SI,Établissement public,
Bureau des personnels de police scientifique,LEBOUCQ,Aline,Mme,attachée principale d'administration de l'Etat,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Délégation interrégionale du secrétariat général du ministère de la Justice - Grand-Nord,LEURIDAN,Nathalie,Mme,administratrice de l'État,Déléguée interrégionale,SI,Administration centrale (ou Ministère),
Délégation interrégionale du secrétariat général du ministère de la Justice - Grand-Nord,LEU,Yannick,M.,,Adjoint,SI,Administration centrale (ou Ministère),
Délégation interrégionale du secrétariat général du ministère de la Justice - Grand-Nord,D'ALLENDE,Magali,Mme,,Chef de l'Etat-major,SI,Administration centrale (ou Ministère),
Délégation interrégionale du secrétariat général du ministère de la Justice - Grand-Nord,LEU,Yannick,M.,,"Chef du département de la performance financière, des achats et de la conformité (DPFAC)",SI,Administration centrale (ou Ministère),
Délégation interrégionale du secrétariat général du ministère de la Justice - Grand-Nord,HEROGUEL,Anne-Laure,Mme,,Cheffe du Département des ressources humaines et de l’action sociale (DRHAS),SI,Administration centrale (ou Ministère),
Sous-direction Europe de la Défense,LATERRADE,Jeanne,Mme,,Sous-directrice,SI,Administration centrale (ou Ministère),
Pôle Analyse du risque pour l'aviation civile (SRD4),BORDE,Arnaud,M.,ingénieur principal de l'armement,Chef du pôle,SI,Administration centrale (ou Ministère),
Bureau des ressources humaines,SALIJA-STOSIC,Sophie,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Arts et Métiers Campus de Cluny,JAUZEIN,Michel,M.,,Directeur,SI,Établissement public,
Groupe de météorologie à moyenne échelle,DUCROCQ,Véronique,Mme,,Cheffe de division,SI,Établissement public,
"Bureau du recrutement, de l'attractivité et de l'accompagnement",CHEUVREUX,Marine,Mme,administratrice de l'État,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Mission nationale de lutte contre les violences,JAUNIAUX,Nicolas,M.,directeur des services pénitentiaires hors classe,Chef de la mission,SI,Administration centrale (ou Ministère),
Mission nationale de lutte contre les violences,CLAIS,Marie,Mme,,Adjointe,SI,Administration centrale (ou Ministère),
Centre Média,,,,,Responsable du centre,SI,Administration centrale (ou Ministère),
Département Cadre de vie et des conditions de travail,FANOUILLET,Jean-Christophe,M.,"ingénieur de la statistique, de l’économie et de la donnée",Chef du département,SI,Administration centrale (ou Ministère),
Sous-direction du dialogue stratégique avec les établissements (DGESIP B1),BATOU-TO-VAN,Cécile,Mme,administratrice de l'État,Sous-directrice,SI,Administration centrale (ou Ministère),
Bureau pilotage des stratégies maritimes et littorales,DUFOURNEAUD,Olivier,M.,"ingénieur en chef des ponts, des eaux et des forêts",Chef du bureau,SI,Administration centrale (ou Ministère),
Mission d'organisation des services du Premier ministre,GRIFFE,Sophie,Mme,contrôleuse des armées,Cheffe de la mission,SI,Administration centrale (ou Ministère),
Mission d'organisation des services du Premier ministre,VANDERPERRE,Marie,Mme,commissaire en chef,Adjointe à la cheffe de la mission,SI,Administration centrale (ou Ministère),
Collège Mer et fluvial,,,,,Coordonnateur,SI,Administration centrale (ou Ministère),
Ambassade de France KAZAKHSTAN - Astana,GUIAUGUE,Sylvain,M.,administrateur de l'État,Ambassadeur,SI,Ambassade ou mission diplomatique,
État-major,TRUCHASSOU,Stéphanie,Mme,commissaire divisionnaire,Cheffe d'état-major,SI,Administration centrale (ou Ministère),
État-major,ALOMENE,Lauriane,Mme,commissaire de police,Adjointe,SI,Administration centrale (ou Ministère),
Division Insee contact et écoute des publics,HILLAIREAU,Fabrice,M.,administrateur hors classe de l'INSEE,Chef de la division,SI,Administration centrale (ou Ministère),
Sous-direction de la police judiciaire (SDPJ) - Gendarmerie nationale,LAMBERT,Dominique,M.,général de division,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction de la police judiciaire (SDPJ) - Gendarmerie nationale,JAMES,Lionel,M.,colonel,Adjoint,SI,Administration centrale (ou Ministère),
Bureau des études de la gestion prévisionnelle des effectifs et des compétences et de la formation - DGRH E1-3,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Secrétariat général de l'AMF,RASPILLER,Sébastien,M.,inspecteur général de l'INSEE,Secrétaire général,SI,Autorité administrative indépendante,
Secrétariat général de l'AMF,BARANGER,Sophie,Mme,,Secrétaire générale adjointe,SI,Autorité administrative indépendante,
Secrétariat général de l'AMF,DELORME,Maxence,M.,magistrat,Secrétaire général adjoint,SI,Autorité administrative indépendante,
Secrétariat général de l'AMF,BONHERT,Benoît,M.,,Conseiller auprès du secrétaire général,SI,Autorité administrative indépendante,
Secrétariat général de l'AMF,GANHI,Gisèle,Mme,inspectrice divisionnaire des finances publiques,Agente comptable,SI,Autorité administrative indépendante,
Secrétariat général de l'AMF,AUBERT,Elsa,Mme,,Audit interne,SI,Autorité administrative indépendante,
Bureau des établissements de transformation et de distribution,AYADI-AKROUT,Khadija,Mme,inspectrice générale de santé publique vétérinaire,Chef du bureau,SI,Administration centrale (ou Ministère),
Mission Stratégie et méthodes,TRICHET,Jean-Jacques,M.,,Chef de la mission,SI,Établissement public,
Centre national des œuvres universitaires et scolaires,DURAND,Bénédicte,Mme,administratrice de l'État,Présidente,SI,Établissement public,
Centre national des œuvres universitaires et scolaires,DUBRANA-LÉTY,Emmanuelle,Mme,,Directrice générale déléguée,SI,Établissement public,
Centre national des œuvres universitaires et scolaires,,,,,Chef du cabinet,SI,Établissement public,
Bureau des affaires transverses,BUZY,Pauline,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau Comptabilité analytique,MARANTE-MORILLE,Catherine,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Centre ministériel de valorisation des ressources humaines (CMVRH),ROUX,Pierre,M.,"ingénieur en chef des ponts, des eaux et des forêts",Directeur,SI,Service à compétence nationale,
Centre ministériel de valorisation des ressources humaines (CMVRH),,,,,Adjoint,SI,Service à compétence nationale,
Direction des affaires européennes et internationales,COQUET,Martine,Mme,,Directrice,SI,Autorité administrative indépendante,
Direction des affaires européennes et internationales,MOUREAUX,Gil,M.,,Directeur adjoint,SI,Autorité administrative indépendante,
Délégation à l'encadrement supérieur et cadres dirigeants,DEVOUCOUX DU BUYSSON,François,M.,administrateur de l'État,Délégué,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",CARANTINO,Benjamin,M.,,Directeur de cabinet,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",TARIZZO,Violaine,Mme,,Directrice adjointe de cabinet,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",MEDJANI,Yassine,M.,,"Chef de cabinet, conseiller auprès de la ministre",SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",BÉLOUARD,Pierre-Elie,M.,,Conseiller carburants et gaz,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",GIOVACHINI,Paul,M.,,Conseiller nucléaire et hydroélectricité,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",TIRANA,Florian,M.,,Conseiller décarbonation et planification,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",DE OLIVEIRA,Loïc,M.,,Conseiller Europe et international,SI,Administration centrale (ou Ministère),
"Cabinet de la ministre déléguée auprès du ministre de l’Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique, chargée de l'énergie",BENZAKINE,Nina,Mme,,Conseillère parlementaire et élus locaux,SI,Administration centrale (ou Ministère),
Bureau Ressources,LEFEBVRE,Frédérique,Mme,attachée d'administration de l'Etat,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau de la réglementation et de la fonction militaire,CIAVALDINI,Marc,M.,colonel,Chef du bureau,SI,Administration centrale (ou Ministère),
Conseil de la fonction militaire de la marine nationale,LAMBERT,Louis-Hervé,M.,capitaine de vaisseau,Secrétaire général,SI,"Conseil, comité, commission (organisme consultatif)",
Conseil de la fonction militaire de la marine nationale,BROSSET DE ROCHEBOUËT,Christine,Mme,capitaine de frégate,Adjointe,SI,"Conseil, comité, commission (organisme consultatif)",
Département de la modernisation et de l'animation des réseaux (DMAR),RENOUARD,Céline,Mme,attachée principale d'administration de l'Etat,Cheffe du département,SI,Administration centrale (ou Ministère),
Département de la modernisation et de l'animation des réseaux (DMAR),SOURON,Xavier,M.,administrateur de l'État,Adjoint,SI,Administration centrale (ou Ministère),
Collège Expertise administrative et éducative,WAÏSS,Guy,M.,administrateur de l'État,Responsable du collège,SI,Administration centrale (ou Ministère),
Mission de soutien des personnels et des familles,BONNEAU,Catherine,Mme,attachée principale d'administration de l'Etat,Cheffe de la mission,SI,Administration centrale (ou Ministère),
Division des formations transverses,BASLE,Samuel,M.,commandant de police,Chef de la division,SI,Administration centrale (ou Ministère),
Bureau de l'offre du logement,HASSAN,Marie,Mme,administrateur hors classe de l'INSEE,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Division des lois,RIZZO,Bénédicte,Mme,,Cheffe de la division,SI,Institution,
Sous-direction des politiques sociales et de l'emploi - POLSOC,SAUVEPLANE,Albane,Mme,administratrice hors classe de l'INSEE,Sous-directrice,SI,Administration centrale (ou Ministère),
Sous-direction des politiques sociales et de l'emploi - POLSOC,MATHIEU,Rémy,M.,administrateur de l'État,Adjoint,SI,Administration centrale (ou Ministère),
Bureau de la gestion de la mobilité,MONCEYRON,Sandy,Mme,attachée d'administration de l'Etat,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Département du pilotage de la gestion des carrières des personnels enseignants,LAUGIER,Carole,Mme,"administratrice de l'Éducation nationale, de l'enseignement supérieur et de la recherche",Cheffe du département,SI,Administration centrale (ou Ministère),
Département du pilotage de la gestion des carrières des personnels enseignants,PIEGAY-TOUCHELAY,Gaëlle,Mme,attachée principale d'administration de l'Etat,Adjointe,SI,Administration centrale (ou Ministère),
Ambassade de France COMORES - Moroni,CHAPON,Etienne,M.,administrateur de l'État,Ambassadeur,SI,Ambassade ou mission diplomatique,
Département ministériel des achats (DMA),BEDHIAF,Sarah,Mme,,Cheffe du département,SI,Administration centrale (ou Ministère),
Département ministériel des achats (DMA),GASSA,Insaf,Mme,,Adjointe,SI,Administration centrale (ou Ministère),
Centre national d'études spatiales (CNES),JACQ,François,M.,ingénieur général des mines,Président,SI,Établissement public,
Centre national d'études spatiales (CNES),SUCHET,Lionel,M.,,Directeur général délégué,SI,Établissement public,
Centre national d'études spatiales (CNES),,,,,Secrétaire général,SI,Établissement public,
Centre national d'études spatiales (CNES),FOND,Pierre,M.,administrateur général des finances publiques,Agent comptable principal,SI,Établissement public,
Centre national d'études spatiales (CNES),STEININGER,Philippe,M.,,Conseiller militaire,SI,Établissement public,
Centre national d'études spatiales (CNES),TRÉFOURET,Pierre,M.,,Directeur du cabinet du président,SI,Établissement public,
Centre national d'études spatiales (CNES),VENET,Christophe,M.,,Directeur Europe et International,SI,Établissement public,
Centre national d'études spatiales (CNES),MONNOYER-SMITH,Laurence,Mme,,Directrice de la délégation au développement durable,SI,Établissement public,
Haute autorité de santé (HAS),COLLET,Lionel,M.,,Président du collège,SI,Autorité administrative indépendante,
Haute autorité de santé (HAS),,,,,Secrétaire général,SI,Autorité administrative indépendante,
Haute autorité de santé (HAS),LESSI,Jean,M.,conseiller d'État,Directeur général,SI,Autorité administrative indépendante,
Haute autorité de santé (HAS),DESCHILDT,Hervé,M.,administrateur des finances publiques,Agent comptable,SI,Autorité administrative indépendante,
Sous-direction du pilotage et de l'optimisation des moyens,HUBERT,Hervé,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction du pilotage et de l'optimisation des moyens,CLAMADIEU,Rafaele,Mme,administratrice territoriale hors classe,Adjointe,SI,Administration centrale (ou Ministère),
Bureau de la dévolution,RICARD,Jean,M.,ingénieur en chef des mines,Chef du bureau,SI,Administration centrale (ou Ministère),
Service Valorisation déchets,FILMON,Karine,Mme,,Cheffe du service,SI,Établissement public,
Établissement français du sang - Occitanie,BARDIAUX,Dr. Laurent,M.,,Directeur,SI,Établissement public,
Établissement français du sang - Occitanie,THIERY,Aude,Mme,,Directrice adjointe,SI,Établissement public,
Ambassade de France GHANA - Accra,DIME LABILLE,Diarra,Mme,secrétaire des affaires étrangères,Ambassadrice,SI,Ambassade ou mission diplomatique,
Bureau des émissions industrielles,MALGORN,Loïc,M.,ingénieur de l'industrie et des mines hors classe,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau de la déclaration sociale nominative,BOYER,Amandine,Mme,,Cheffe du bureau,SI,Service à compétence nationale,
"Sous-direction de l'encadrement supérieur, des commissaires et des officiers",LALLEMAND,Delphine,Mme,contrôleuse générale des services actifs de la police nationale,Sous-directrice,SI,Administration centrale (ou Ministère),
"Sous-direction de l'encadrement supérieur, des commissaires et des officiers",ROUX,Emmanuel,M.,commissaire général,Chef de la mission cadres dirigeants,SI,Administration centrale (ou Ministère),
Direction des actions territoriales,,,,,Directeur,SI,Établissement public,
Comédie française - Salle Richelieu,HERVIEU-LÉGER,Clément,M.,,Administrateur général,SI,Établissement public,
Comédie française - Salle Richelieu,BENSIMON-WEILER,Emmanuelle,Mme,administratrice de l'État,Directrice générale,SI,Établissement public,
Comédie française - Salle Richelieu,MANIER,Baptiste,M.,,Secrétaire générale,SI,Établissement public,
Comédie française - Salle Richelieu,SIMON,Benoït,M.,,Directeur technique,SI,Établissement public,
Comédie française - Salle Richelieu,VALETTE,Éric,M.,inspecteur divisionnaire des finances publiques,Agent comptable,SI,Établissement public,
IFPEN (IFP Énergies nouvelles) - Etablissement de Lyon,HEINTZE,Éric,M.,,Directeur de l'établissement,SI,Établissement public,
"Bureau Achats fournitures, prestations générales et intellectuelles",LE HÉNAFF,Claire,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
"Sous-direction Gouvernance, acquisition, logistique (SDGAL)",DUFFAUD,Jean-Paul,Mme,commissaire général,Sous-directeur,SI,Administration centrale (ou Ministère),
Direction des systèmes d'information,COMBETTES,Aline,Mme,,Directrice des systèmes d'information,SI,Établissement public,
Département de la synthèse budgétaire (DGESIP B2-1),DECORPAS,Mylène,Mme,attachée principale d'administration de l'Etat,Cheffe du département,SI,Administration centrale (ou Ministère),
Département de la synthèse budgétaire (DGESIP B2-1),PRESCHEY,Félix,M.,attaché d'administration de l'Etat,Adjoint,SI,Administration centrale (ou Ministère),
Bureau de l'appui au pilotage du secteur associatif habilité,TEIXEIRA,Michel,M.,attaché principal d'administration de l'Etat,Chef du bureau,SI,Administration centrale (ou Ministère),
Département de la valorisation et de l'édition,BERTON,Laurent,M.,,Chef du département,SI,Administration centrale (ou Ministère),
Cabinet du secrétaire général de la garde nationale,,,,,Cheffe du cabinet,SI,Administration centrale (ou Ministère),
Bureau Installations classées,BAERT-BLONDEL,Fabienne,,ingénieure civile de la défense,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Bureau du droit de l'économie des entreprises,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Sous-direction des ressources humaines (SDRH),GONZALEZ,Philippe,M.,administrateur de l'État,Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction des ressources humaines (SDRH),,,,,Adjoint,SI,Administration centrale (ou Ministère),
"Département stratégie pilotage, gouvernance",CANTY,Laurence,Mme,,Chef du département,SI,Administration centrale (ou Ministère),
"Département stratégie pilotage, gouvernance",,,,,Adjoint,SI,Administration centrale (ou Ministère),
Sous-direction des financements innovants et du contrôle des concessions autoroutières,BALDERELLI,Fabien,M.,"ingénieur général des ponts, des eaux et des forêts",Sous-directeur,SI,Administration centrale (ou Ministère),
Sous-direction des financements innovants et du contrôle des concessions autoroutières,CHEVALLIER,Estelle,Mme,"ingénieure en chef des ponts, des eaux et des forêts",Adjointe,SI,Administration centrale (ou Ministère),
Sous-direction des financements innovants et du contrôle des concessions autoroutières,SCHWANDER,Jean,M.,ingénieur des travaux publics de l'Etat hors classe,Adjoint,SI,Administration centrale (ou Ministère),
Bureau de la planification des ressources,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Consulat général de France GRÈCE - Thessalonique,LAVAUD,Jean-Luc,M.,,Consul général,SI,Ambassade ou mission diplomatique,
Direction financière et des programmes,RAVON-BERENGUER,Marie-Astrid,Mme,,Directrice,SI,Établissement public,
Bureau de la santé et de la sécurité au travail,TOUCHARD,Christelle,Mme,colonelle,Cheffe du  bureau,SI,Administration centrale (ou Ministère),
Collège de supervision de l'autorité de contrôle prudentiel et de résolution,VILLEROY DE GALHAU,François,M.,,Président du sous-collège sectoriel de la banque,SI,Autorité administrative indépendante,
Collège de supervision de l'autorité de contrôle prudentiel et de résolution,,,,,Président du sous-collège sectoriel de l'assurance,SI,Autorité administrative indépendante,
"Sous-direction des établissements, des dotations et des compétences",MONTESINOS,Cédric,M.,administrateur de l'État hors classe,Sous-directeur,SI,Administration centrale (ou Ministère),
"Sous-direction des établissements, des dotations et des compétences",FOURESTIER,Pascal,M.,,Adjoint,SI,Administration centrale (ou Ministère),
"Sous-direction des établissements, des dotations et des compétences",PLUTA,Angélique,Mme,administratrice de l'État,Adjointe,SI,Administration centrale (ou Ministère),
Pôle médical,GERMA,René,M.,,Chef du pôle,SI,Administration centrale (ou Ministère),
Mission Presse et veille médias (MPV),LOPES,Véronique,Mme,,Cheffe des relations presse,SI,Administration centrale (ou Ministère),
Mission Presse et veille médias (MPV),GUIRAUT,Florian,M.,,Chef de la veille,SI,Administration centrale (ou Ministère),
"Pôle Programmation, performance et qualité (PPQ)",,,,,Chef du pôle,SI,Service à compétence nationale,
Bureau Cohérence-synthèse,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Droits individuels,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
École nationale supérieure d'architecture - Paris-Val de Seine,GOZE,Jérôme,M.,,Directeur,SI,Établissement public,
École nationale supérieure d'architecture - Paris-Val de Seine,PHALIPPON ROBERT,Isabelle,Mme,,Secrétaire générale,SI,Établissement public,
École nationale supérieure d'architecture - Paris-Val de Seine,HEBREARD,Nathalie,Mme,,Directrice des études,SI,Établissement public,
Direction de la stratégie et des ressources (DSR),OUTREY,Pierre,M.,"ingénieur en chef des ponts, des eaux et des forêts",Directeur,SI,Administration centrale (ou Ministère),
Direction de la stratégie et des ressources (DSR),VILLE,Geoffroy,M.,"ingénieur général des ponts, des eaux et des forêts",Adjoint,SI,Administration centrale (ou Ministère),
Direction de la stratégie et des ressources (DSR),COLSON,Jonathan,M.,ingénieur principal des études et de l'exploitation de l'aviation civile,Adjoint,SI,Administration centrale (ou Ministère),
Service informatique,FONGRAL,Olivier,M.,,Chef du service,SI,Administration centrale (ou Ministère),
"Bureau Frontières, asile et migrations - FAM",,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Office français de la biodiversité - Direction régionale Pays de la Loire,,,,,Directeur régional,SI,Établissement public,
Conseil supérieur de l'économie sociale et solidaire (CSESS),,,,,Présidente,SI,"Conseil, comité, commission (organisme consultatif)",
Conseil supérieur de l'économie sociale et solidaire (CSESS),AHIPEAUD,Evelyne,Mme,attachée principale d'administration de l'Etat,Secrétaire générale,SI,"Conseil, comité, commission (organisme consultatif)",
Sous-direction Produits et marchés agroalimentaires,CLUZEL,Odile,Mme,administratrice de l'État hors classe,Sous-directrice,SI,Administration centrale (ou Ministère),
AgroParisTech - Centre de Massy,BONNEVILLE,Agnès,Mme,,Directrice du centre,SI,Établissement public,
